SKU,Description,Length_in,Width_in,Height_in,Weight_lbs,Eaches,Weekly_Picks,Tray_Config,Pick_Priority
SM-03088,Pressure Switch,7.68,3.6,4.33,1.82,8,5,3,200
SM-02253,Needle Bearing,6.81,2.22,1.79,0.24,4,7,3,101
SM-01039,Cord Grip,4.57,7.36,0.83,6.98,27,1,2,824
SM-02518,Relay 24V,6.85,8.5,3.77,5.55,5,5,2,263
SM-02566,Ball Bearing,5.4,9.65,3.48,0.29,7,2,2,670
SM-02454,Temp Sensor,0.59,7.57,2.69,7.02,5,1,4,403
SM-00628,Check Valve,17.62,7.9,3.6,7.86,4,3,2,410
SM-03307,Pneumatic Actuator,13.03,11.89,2.2,3.04,15,0,1,519
SM-02315,Circuit Breaker,8.61,10.69,4.0,2.36,2,1,2,994
SM-03380,Oil Cup,16.2,6.67,3.34,2.21,6,0,2,1422
SM-01852,Breather Cap,0.27,6.73,1.55,4.69,30,0,4,520
SM-00539,Relay 120V,0.53,4.32,0.71,5.57,23,4,4,118
SM-01000,Pneumatic Actuator,7.52,1.58,3.99,2.12,1,6,4,68
SM-00112,Machine Screw,3.6,7.27,1.01,7.64,17,0,3,768
SM-02892,Push-to-Connect Fitting,13.04,5.06,4.33,3.77,5,3,2,545
SM-02863,Level Switch,10.85,8.25,4.78,4.79,7,3,2,542
SM-00289,Sealed Bearing,1.98,5.27,1.42,6.42,20,3,3,270
SM-00047,Timing Belt,17.17,2.02,4.27,5.04,1,1,3,491
SM-02987,Pneumatic Actuator,3.05,9.73,3.69,1.16,6,4,3,248
SM-02852,Lock Nut,13.58,11.45,3.43,7.05,3,1,1,376
SM-02220,Needle Valve,4.09,9.97,0.55,7.89,9,1,2,983
SM-02146,Wing Nut,10.98,2.5,2.02,2.92,5,3,3,345
SM-01919,Belt,13.72,6.92,4.98,1.16,3,0,2,1295
SM-02020,Handle,1.42,4.21,1.51,5.44,9,2,4,254
SM-00046,Hex Bolt,3.16,7.95,1.45,4.54,14,1,3,490
SM-02534,Quick Coupler,2.91,2.25,2.29,2.55,36,4,3,240
SM-01999,Lock Washer,15.37,3.9,1.96,0.52,9,1,3,647
SM-01310,Overload Relay,10.01,11.11,1.76,7.04,3,1,1,300
SM-01768,Rocker Switch,14.76,7.93,1.24,2.99,7,3,2,486
SM-01081,Spacer,15.18,0.7,0.6,6.7,40,0,4,490
SM-03469,Pop Rivet,2.03,1.49,3.06,5.29,14,0,4,591
SM-01837,Air Filter,6.41,10.83,2.79,5.4,13,5,2,237
SM-02971,LED Indicator,0.39,8.24,3.24,2.85,20,0,4,568
SM-02927,Butt Splice,17.01,8.91,4.74,1.98,3,1,1,378
SM-01322,Sprocket,9.21,9.41,2.16,6.51,23,1,1,302
SM-01976,E-Clip,2.2,8.95,4.3,2.72,12,2,3,446
SM-00461,Pillow Block,16.76,1.97,3.09,0.04,3,0,3,789
SM-00777,Lock Nut,4.52,10.84,1.39,2.89,44,3,2,421
SM-02840,Machine Screw,10.41,5.74,1.12,3.57,21,4,2,356
SM-02212,Fuse 10A,9.34,2.25,1.21,5.05,1,0,3,881
SM-00716,Shock Absorber,3.68,1.82,0.59,7.91,6,2,3,424
SM-00190,Relay 120V,8.05,11.49,4.4,2.36,5,0,2,1135
SM-03344,Lock Nut,5.48,10.32,1.28,4.65,3,8,2,113
SM-02481,Oil Seal,17.97,6.51,2.12,1.76,10,5,2,262
SM-00875,Chain Link,17.53,10.71,2.96,0.42,1,1,1,283
SM-02988,Wire Connector,9.53,7.92,4.1,4.05,11,4,2,360
SM-03323,O-Ring,4.85,7.15,3.96,5.8,20,1,2,1098
SM-00516,Pulley,6.05,11.05,2.72,4.33,7,5,2,194
SM-03405,Vibration Mount,17.19,8.9,2.82,6.15,1,1,1,401
SM-00749,Sprocket,9.55,10.29,1.34,0.87,2,3,1,133
SM-01515,Handle,1.67,4.06,4.74,0.88,14,0,3,842
SM-02324,Chain Link,4.12,8.09,2.37,0.65,39,1,2,995
SM-03007,Rivet,9.67,9.12,3.77,0.05,14,0,1,508
SM-01554,E-Clip,4.7,5.84,0.53,1.7,38,3,2,469
SM-00849,Cap Screw,9.2,1.73,3.26,5.13,11,3,3,296
SM-00958,Pillow Block,4.12,3.57,3.77,4.6,18,1,3,560
SM-01703,Butt Splice,5.79,11.54,2.03,6.56,11,1,2,906
SM-02037,Gas Spring,0.8,10.91,1.56,5.64,2,8,4,35
SM-02522,Pillow Block,2.42,10.4,0.67,4.92,40,3,3,361
SM-02606,Spacer,3.77,7.79,0.6,2.52,44,1,3,692
SM-01704,Oil Filter,1.32,4.56,3.66,0.44,10,0,4,514
SM-01865,Extension Spring,1.89,0.83,0.86,0.33,14,2,4,251
SM-00852,Machine Screw,10.23,5.15,1.62,5.25,30,1,2,803
SM-03133,Retaining Ring,13.79,10.85,3.85,5.48,2,5,1,96
SM-01399,Blind Rivet,8.12,3.31,4.29,0.85,6,3,3,320
SM-00606,Pressure Regulator,17.8,9.01,3.25,2.81,6,8,1,23
SM-01056,Ball Valve,15.74,6.26,0.89,0.94,26,3,2,441
SM-00442,Timing Belt,16.3,10.99,1.36,4.1,10,2,1,193
SM-00604,Relay 24V,7.44,8.24,2.73,4.8,6,1,2,778
SM-00305,Flange Nut,8.0,11.93,3.16,4.31,1,1,2,744
SM-01160,Shaft Seal,7.47,8.42,0.51,7.69,31,3,2,445
SM-01778,Handle,13.05,10.74,2.31,6.92,6,1,1,324
SM-01304,Thrust Bearing,3.93,3.6,3.38,6.51,11,1,3,596
SM-03485,Limit Switch,17.12,3.83,3.11,2.79,5,2,3,483
SM-01216,Relay 12V,7.0,9.39,2.47,4.62,10,1,2,846
SM-02325,Flat Washer,4.36,1.94,0.88,4.27,18,7,3,102
SM-00696,Flange Nut,8.45,1.11,1.97,7.82,2,5,4,80
SM-01468,Ball Bearing,0.91,7.17,2.95,3.08,2,3,4,167
SM-01249,Barb Fitting,14.57,10.71,1.92,3.65,11,0,1,435
SM-02685,V-Ring Seal,4.91,5.29,4.47,7.87,14,2,2,673
SM-00409,Knob,9.91,4.63,1.37,0.12,48,1,2,757
SM-00575,Ball Bearing,8.5,8.55,3.61,6.15,13,5,2,196
SM-00353,Toggle Switch,9.16,7.05,1.52,6.67,24,0,2,1155
SM-03430,Vibration Mount,11.32,4.62,4.51,2.73,13,1,2,1105
SM-00100,Wire Connector,6.61,4.2,1.85,1.3,17,3,2,374
SM-02439,Temp Sensor,12.16,5.45,3.68,3.56,7,1,2,1006
SM-02524,Threaded Rod,9.15,8.1,3.23,7.82,9,1,2,1016
SM-03014,Key Stock,8.34,7.77,2.3,3.92,7,3,2,555
SM-00905,Needle Valve,12.41,8.26,1.93,1.88,4,0,2,1203
SM-01507,Needle Valve,6.94,1.62,4.07,4.99,10,3,3,325
SM-02471,Clevis Pin,4.65,3.39,1.52,4.97,20,1,3,677
SM-00633,Relay 12V,1.43,2.09,0.9,2.23,36,5,4,79
SM-02860,Gear,15.61,8.41,3.76,4.44,3,5,2,275
SM-01658,V-Ring Seal,13.74,10.17,4.61,5.13,1,1,1,319
SM-01831,Barb Fitting,13.72,4.59,1.08,0.05,40,14,2,13
SM-00306,Pressure Regulator,17.7,6.8,1.71,5.09,6,8,2,70
SM-01529,Fuse 5A,4.42,9.16,1.87,1.36,26,5,2,228
SM-01908,Butt Splice,10.82,6.42,2.13,0.85,15,3,2,492
SM-01534,Cotter Pin,1.94,6.28,4.02,3.1,9,0,3,843
SM-01936,Cable Gland,2.42,11.81,3.19,4.65,1,1,3,641
SM-00784,Blind Rivet,3.37,10.54,1.56,1.27,12,3,3,293
SM-00151,Spacer,5.73,9.58,3.05,3.07,15,0,2,1131
SM-01474,Latch,6.2,2.84,3.72,0.48,16,1,3,609
SM-02495,Wave Spring,10.47,0.5,0.57,5.55,42,1,4,407
SM-02110,Grease Fitting,11.55,8.58,1.94,6.13,1,5,2,240
SM-02421,LED Indicator,1.14,11.87,1.87,0.3,9,10,4,21
SM-00107,Solenoid Valve,7.96,10.53,2.43,2.22,6,8,2,65
SM-01742,Pneumatic Actuator,10.49,9.39,2.46,1.08,12,0,1,451
SM-01882,Fuse 5A,14.27,5.38,4.38,3.53,4,3,2,488
SM-00617,Relay 120V,12.53,11.78,0.56,2.31,28,0,1,417
SM-01741,Push-to-Connect Fitting,7.9,8.56,3.68,7.27,8,1,2,913
SM-02409,Toggle Switch,4.71,2.46,1.92,3.62,14,3,3,356
SM-03267,Grease Fitting,14.87,11.18,4.33,5.84,7,0,1,516
SM-02405,V-Belt,2.18,1.68,2.49,7.53,41,5,3,189
SM-02362,Wire Connector,14.54,4.73,1.68,1.91,29,1,2,1000
SM-00211,V-Ring Seal,16.7,7.3,3.36,1.23,5,1,2,727
SM-00891,Cotter Pin,5.52,8.19,4.72,3.33,4,0,2,1202
SM-00207,Rocker Switch,2.7,11.64,0.77,5.09,1,3,3,266
SM-01267,Timing Belt,2.44,9.86,2.86,7.35,3,1,3,593
SM-02779,Sprocket,3.09,6.52,0.72,4.19,24,4,3,245
SM-00771,Circuit Breaker,5.71,6.69,1.51,7.39,37,3,2,418
SM-02466,Shaft Seal,2.71,4.79,0.87,0.53,18,0,3,889
SM-01949,Strainer Element,16.63,8.62,4.45,2.41,1,4,2,338
SM-02348,Handle,12.64,4.83,2.7,2.87,2,1,2,998
SM-02600,Tee Fitting,12.69,9.94,1.86,1.45,17,0,1,487
SM-00024,Solenoid Valve,7.65,10.29,1.69,4.49,21,5,2,179
SM-00452,Solenoid Valve,5.02,0.69,3.16,2.78,8,5,4,77
SM-01885,Wire Connector,6.82,5.82,2.46,6.58,19,3,2,490
SM-02368,Pilot Light,8.98,6.78,4.12,6.58,1,0,2,1337
SM-00533,Fuse 5A,17.69,4.17,4.99,4.37,4,0,2,1174
SM-03394,Roller Bearing,3.6,1.46,1.17,5.53,32,7,4,64
SM-00040,Timing Belt,10.94,8.93,3.05,7.12,6,6,1,48
SM-03011,Latch,13.25,9.9,2.61,1.99,11,1,1,383
SM-02049,Knob,4.4,2.4,4.72,7.1,11,1,3,651
SM-01344,Oil Seal,12.95,1.77,3.79,5.5,10,4,3,225
SM-00579,Retaining Ring,3.29,5.13,4.06,7.34,8,3,3,286
SM-00908,Clevis Pin,2.93,0.95,1.95,5.14,27,4,4,124
SM-01977,Relay 12V,8.76,1.07,4.58,4.73,2,3,4,178
SM-01859,Lock Washer,12.53,5.61,3.63,6.13,5,1,2,927
SM-01895,Breather Cap,14.16,7.63,2.44,7.55,3,1,2,933
SM-01061,Snap Ring,2.43,11.68,0.76,4.6,6,1,3,571
SM-01966,Torsion Spring,15.23,9.9,3.76,1.56,10,0,1,463
SM-01054,Wing Nut,6.38,3.79,4.88,0.73,4,1,3,570
SM-01721,Knob,4.06,7.81,4.87,2.4,15,1,2,909
SM-01943,Cap Screw,13.14,11.93,1.06,4.54,1,2,1,215
SM-00066,Machine Screw,15.56,7.79,3.03,1.55,1,1,2,709
SM-00310,E-Clip,0.58,10.27,1.77,7.52,7,7,4,49
SM-00540,E-Clip,11.88,10.07,4.42,0.98,6,2,1,194
SM-01238,Ball Bearing,7.96,1.58,1.56,1.29,10,1,4,341
SM-02262,Air Cylinder,1.77,11.54,0.67,0.04,30,1,3,663
SM-03348,Pulley,13.5,3.89,2.51,6.74,5,1,3,750
SM-02890,E-Clip,16.25,5.73,2.18,1.25,4,0,2,1384
SM-03389,Wing Nut,4.61,10.41,4.75,3.68,13,3,2,578
SM-00124,Flange Nut,5.67,2.29,3.45,2.83,5,1,3,500
SM-00160,LED Indicator,10.41,7.23,3.64,3.84,4,3,2,378
SM-01698,Tee Fitting,15.86,0.66,0.99,6.36,9,5,4,95
SM-00952,Flow Control,16.78,4.25,1.57,0.22,15,1,2,816
SM-02096,Limit Switch,2.56,0.86,1.2,4.89,9,0,4,536
SM-00802,Belt,2.61,3.04,1.59,4.76,22,0,3,814
SM-00135,Roller Bearing,3.15,1.92,3.85,6.43,12,1,3,501
SM-01068,Flat Washer,15.1,11.5,0.7,6.63,19,0,1,431
SM-01103,Gas Spring,3.9,4.63,4.28,4.47,13,0,3,831
SM-03177,Dowel Pin,13.84,4.93,1.77,7.47,13,5,2,283
SM-02865,Flat Washer,13.49,1.03,1.64,1.1,7,1,4,422
SM-03118,Bumper,0.45,1.7,3.24,7.19,46,5,4,114
SM-03009,Torsion Spring,16.96,10.3,1.26,6.57,16,0,1,509
SM-02593,Wing Nut,13.11,1.53,1.88,1.14,2,3,4,191
SM-00586,Ball Bearing,9.78,5.02,1.75,0.72,4,1,2,776
SM-03255,Hinge,11.01,4.78,2.25,5.28,6,7,2,145
SM-00120,Lock Washer,17.31,10.1,3.49,0.64,8,5,1,54
SM-02626,Needle Valve,14.21,6.67,3.33,7.22,3,3,2,531
SM-00863,Cotter Pin,3.96,1.54,1.44,1.94,27,7,4,53
SM-01894,Pneumatic Actuator,1.49,11.87,1.87,2.98,4,1,4,370
SM-01595,Wing Nut,13.08,11.3,2.46,3.6,10,2,1,211
SM-02675,V-Belt,7.66,10.87,2.86,0.15,4,5,2,268
SM-01166,DIN Rail Mount,14.46,10.14,1.7,1.42,7,4,1,108
SM-02270,Oil Filter,9.31,2.12,3.39,3.43,4,5,3,186
SM-02906,Elbow Fitting,3.21,1.53,4.02,1.28,5,0,4,566
SM-02433,Extension Spring,17.49,9.49,1.2,7.05,23,5,1,88
SM-01113,Photoelectric Sensor,4.99,10.76,2.31,7.99,6,9,2,58
SM-01040,Shock Absorber,4.09,2.73,4.95,7.65,14,1,3,567
SM-01386,Wire Connector,6.42,10.23,1.93,0.29,3,3,2,459
SM-02047,Oil Filter,2.52,1.41,4.3,1.17,8,2,4,255
SM-00646,Air Filter,10.08,7.29,2.03,0.31,3,1,2,781
SM-02596,Cord Grip,11.29,5.43,2.04,3.93,25,1,2,1026
SM-02380,Piston Seal,14.94,3.88,3.44,4.67,5,6,3,133
SM-03296,Anchor Bolt,1.9,3.87,4.36,0.92,1,1,3,745
SM-03418,Lip Seal,13.16,4.38,1.25,0.19,31,0,2,1426
SM-00104,Blind Rivet,17.54,1.53,3.67,6.07,2,14,4,6
SM-01968,Belt,3.73,3.29,2.94,7.23,19,0,3,870
SM-01536,Hinge,16.05,2.56,2.38,7.15,7,1,3,612
SM-00080,Machine Screw,15.25,8.88,3.01,4.28,1,2,1,186
SM-03434,Blind Rivet,17.76,1.84,1.05,1.14,29,0,3,945
SM-01210,Stud Bolt,17.92,8.16,1.91,6.91,7,3,2,447
SM-01538,Wing Nut,16.79,7.15,3.42,2.19,7,3,2,468
SM-02805,Spade Terminal,15.16,5.13,3.75,0.13,2,1,2,1043
SM-00663,Tee Fitting,3.11,9.92,1.24,1.83,15,0,3,803
SM-02371,Barb Fitting,6.29,5.63,2.09,7.2,31,5,2,255
SM-01913,Rocker Switch,14.0,8.93,1.57,1.45,9,5,1,83
SM-01217,Wave Spring,0.81,2.47,2.81,2.43,40,3,4,161
SM-00249,Blind Rivet,11.88,9.17,2.92,4.76,1,0,1,410
SM-01552,Limit Switch,13.93,3.76,1.46,2.63,12,0,3,844
SM-01973,Gear,14.05,8.92,4.86,7.64,6,0,1,465
SM-01376,Spade Terminal,16.51,3.44,1.73,1.74,5,2,3,440
SM-02657,Needle Bearing,8.04,11.67,0.6,3.43,6,5,2,267
SM-00347,Shock Absorber,11.75,6.79,1.99,1.75,3,2,2,595
SM-01524,Filter Cartridge,11.28,9.41,2.88,5.79,6,1,1,311
SM-01034,Ball Valve,3.15,0.87,4.88,5.2,13,1,4,334
SM-01279,Clevis Pin,6.17,3.52,2.36,3.96,20,1,3,594
SM-00772,E-Clip,6.54,4.51,3.12,5.22,35,3,2,419
SM-02734,Signal Lamp,15.87,2.82,0.91,5.62,5,3,3,370
SM-01374,Grease Fitting,11.5,8.44,4.29,2.69,3,7,2,127
SM-02514,Butt Splice,11.99,9.46,4.3,5.81,2,1,1,354
SM-00752,Grease Fitting,3.4,4.74,4.79,4.01,11,1,3,541
SM-03399,DIN Rail Mount,8.8,5.24,4.19,1.95,16,0,2,1424
SM-01467,Ball Valve,17.46,4.66,3.14,4.56,10,2,2,637
SM-00395,Sealed Bearing,12.04,6.68,4.88,6.79,3,1,2,754
SM-00937,Ball Bearing,11.0,4.85,1.54,7.61,7,1,2,813
SM-01572,Elbow Fitting,9.67,3.31,2.93,6.44,2,0,3,849
SM-00887,Proximity Sensor,16.89,6.21,2.61,4.1,2,8,2,79
SM-03282,Lock Washer,17.63,5.71,3.95,2.52,4,1,2,1092
SM-03122,Hex Nut,10.75,4.22,1.9,5.44,28,9,2,62
SM-03274,Flange Nut,16.65,6.89,3.52,3.05,5,0,2,1410
SM-02187,Ball Valve,10.88,1.89,1.75,6.25,27,6,3,131
SM-01938,Retaining Ring,0.51,7.83,1.52,4.21,26,0,4,525
SM-01945,Spacer,7.62,2.01,3.52,1.29,2,8,3,69
SM-02119,Sealed Bearing,7.72,3.97,3.52,4.2,9,2,2,655
SM-00976,Gas Spring,1.88,8.45,2.3,5.55,28,2,3,429
SM-01804,Cotter Pin,6.7,3.35,2.32,2.05,16,1,3,629
SM-01254,DIN Rail Mount,6.05,9.77,4.29,4.94,3,3,2,449
SM-01670,Cable Gland,11.7,1.17,2.63,1.84,2,4,4,128
SM-00592,Hex Nut,5.41,9.47,1.8,4.94,21,0,2,1181
SM-01062,Oil Seal,7.94,2.08,3.8,4.64,1,1,3,572
SM-02581,Machine Screw,12.93,1.39,2.19,6.86,3,0,4,548
SM-03475,Oil Filter,17.36,5.14,0.89,3.7,42,2,2,698
SM-01578,Bumper,13.45,3.03,3.64,2.41,6,13,3,13
SM-00323,Push Button,7.15,0.98,3.15,3.31,6,7,4,50
SM-03467,Machine Screw,17.82,1.96,3.66,6.88,7,0,3,949
SM-02217,Pilot Light,1.28,8.02,2.38,7.19,2,1,4,388
SM-00720,Clamp,6.31,4.94,2.32,3.05,40,2,2,607
SM-02163,Pilot Light,8.83,0.92,1.7,0.34,18,9,4,22
SM-00625,Proximity Sensor,5.08,0.54,3.74,0.67,9,1,4,306
SM-00595,Cap Screw,10.83,8.19,3.5,1.13,1,0,2,1182
SM-00229,Wave Spring,12.66,2.69,4.39,5.29,3,0,3,776
SM-00028,Lubrication Nipple,12.58,10.48,4.56,3.12,9,1,1,237
SM-02721,Lock Nut,11.95,3.27,1.93,4.5,2,3,3,369
SM-00599,Lock Nut,3.7,4.52,4.72,0.46,7,5,3,155
SM-03188,Fuse 15A,11.38,7.46,1.7,0.2,10,1,2,1083
SM-00601,Oil Cup,17.19,4.02,3.68,0.03,5,3,2,407
SM-02245,Sprocket,14.19,5.97,4.63,7.97,1,3,2,509
SM-00018,Cable Gland,12.41,3.87,0.81,2.57,16,1,3,485
SM-03013,Pillow Block,7.0,5.36,4.57,0.52,15,5,2,279
SM-01533,Flat Washer,7.97,2.16,1.19,7.72,5,2,3,442
SM-03022,Pillow Block,15.42,3.09,2.26,5.08,4,5,3,198
SM-02045,Relay 24V,10.59,1.42,3.05,7.58,1,7,4,58
SM-01439,Cable Gland,9.49,11.27,2.98,7.3,10,3,1,148
SM-01731,Hex Bolt,9.12,8.4,1.22,4.77,7,0,2,1279
SM-03259,Thrust Bearing,16.59,11.42,0.97,7.15,3,6,1,53
SM-02397,Ball Bearing,13.37,2.58,4.2,1.01,5,1,3,672
SM-01589,Toggle Switch,10.8,3.19,3.19,1.7,4,1,3,613
SM-03124,Lock Washer,14.9,11.74,2.8,3.53,11,0,1,512
SM-00997,Toggle Switch,9.17,9.32,2.85,1.99,12,1,1,287
SM-01887,Lubrication Nipple,16.33,6.5,4.38,7.99,7,1,2,930
SM-01819,Relay 120V,0.98,4.69,1.48,5.38,27,2,4,249
SM-02351,Knob,11.43,6.4,0.92,7.47,36,5,2,254
SM-01452,Wiper Seal,6.33,5.78,2.75,2.27,4,4,2,325
SM-00327,Spacer,2.24,7.41,1.07,4.87,42,3,3,272
SM-02858,Lubrication Nipple,10.31,5.52,4.01,2.18,14,2,2,677
SM-03017,Relay 12V,1.88,4.17,3.83,6.55,1,2,3,470
SM-03351,Lip Seal,6.19,4.24,2.38,2.76,1,0,2,1420
SM-02506,Dowel Pin,6.51,1.48,4.69,7.63,2,1,4,409
SM-01675,Cable Gland,13.78,5.02,4.83,0.62,9,0,2,1270
SM-00872,Breather Cap,2.08,4.99,4.27,4.97,8,1,3,553
SM-00799,Ball Bearing,9.0,11.15,4.32,4.9,7,0,1,422
SM-01391,Quick Coupler,17.8,7.04,2.54,5.91,6,2,2,633
SM-02056,Connecting Link,11.69,1.47,3.14,3.27,2,5,4,100
SM-03208,Belt,9.86,7.79,4.64,2.57,9,5,2,287
SM-00902,Cord Grip,11.02,1.95,2.77,1.07,16,1,3,555
SM-00508,Relay 24V,16.78,6.43,3.21,1.88,4,0,2,1170
SM-02889,Vibration Mount,8.12,9.95,1.41,6.53,11,1,2,1052
SM-02741,Toggle Switch,5.26,0.84,3.38,0.71,11,0,4,557
SM-00915,Clevis Pin,9.1,0.63,3.96,7.41,8,1,4,324
SM-03202,Fuse 15A,4.58,6.64,1.27,5.12,11,5,2,285
SM-02908,Anchor Bolt,6.01,8.27,4.6,1.33,11,1,2,1057
SM-02213,Needle Valve,11.53,3.67,3.08,1.6,3,1,3,661
SM-02333,Limit Switch,10.13,2.8,1.64,4.16,9,0,3,884
SM-01864,Butt Splice,2.19,5.49,1.48,5.93,17,1,3,632
SM-01551,Shim Pack,15.75,8.22,4.63,3.49,4,2,2,640
SM-02095,Piston Seal,0.52,5.69,1.47,4.84,11,4,4,130
SM-00944,Blind Rivet,9.09,7.04,0.79,2.76,34,1,2,815
SM-01167,Machine Screw,7.61,8.6,2.49,3.63,7,3,2,446
SM-03493,Die Spring,12.43,11.62,4.44,5.21,1,1,1,403
SM-01929,Relay 120V,10.46,7.79,2.95,2.85,4,5,2,239
SM-02809,Quick Coupler,14.9,9.63,2.6,7.73,12,0,1,500
SM-01078,Cable Gland,1.55,3.53,2.55,4.3,16,1,4,336
SM-03029,Pop Rivet,12.64,2.83,3.98,5.54,4,1,3,725
SM-02511,Pneumatic Actuator,17.88,3.8,1.4,2.24,9,4,3,239
SM-00375,V-Ring Seal,2.68,8.82,4.87,7.74,5,8,3,53
SM-01457,Chain Link,17.29,1.78,0.75,1.12,41,3,3,324
SM-01868,Shaft Seal,6.56,0.54,1.8,7.64,16,1,4,368
SM-02032,Rivet,14.79,9.91,4.52,0.19,2,4,1,115
SM-02475,Master Link,0.38,5.03,2.44,6.13,23,1,4,404
SM-02793,Pressure Regulator,0.69,1.32,3.7,2.1,29,0,4,562
SM-00495,Shock Absorber,0.65,0.52,3.37,6.51,18,2,4,231
SM-00292,Oil Seal,0.96,5.11,0.55,5.49,12,0,4,466
SM-02691,Pillow Block,7.39,0.98,3.38,5.49,5,0,4,554
SM-03299,Level Switch,4.13,4.4,4.32,7.18,12,2,2,692
SM-02024,Chain Link,6.89,9.57,4.93,0.23,7,1,2,954
SM-01237,Proximity Sensor,16.11,2.5,3.57,4.89,5,4,3,223
SM-02946,Lock Washer,7.25,9.77,1.18,2.07,24,1,2,1062
SM-02507,Roller Bearing,7.57,0.6,4.68,5.52,4,4,4,138
SM-00584,Master Link,17.63,6.49,1.55,0.89,15,3,2,406
SM-01297,Spade Terminal,9.95,4.52,4.78,4.58,10,1,2,857
SM-01590,Toggle Switch,17.05,7.54,2.99,4.41,4,1,2,895
SM-01188,Set Screw,11.48,8.46,4.65,4.47,4,1,2,843
SM-00860,Timing Belt,14.1,1.25,2.85,5.45,4,3,4,156
SM-03368,Push Button,18.0,9.4,2.83,4.84,6,1,1,398
SM-02833,Lock Nut,16.94,6.59,4.13,6.51,6,5,2,272
SM-00265,Push Button,14.25,6.45,3.68,4.69,7,1,2,734
SM-02916,Straight Fitting,15.52,1.06,3.86,7.95,3,1,4,426
SM-00512,Gear,5.77,11.19,4.94,6.49,9,0,2,1171
SM-01779,Connecting Link,9.33,5.88,4.8,5.23,9,6,2,158
SM-03325,O-Ring,2.65,9.37,2.92,4.83,12,3,3,401
SM-03312,Flange Nut,10.07,2.04,3.5,5.07,2,11,3,28
SM-02672,Push Button,14.58,3.35,0.63,2.5,28,3,3,367
SM-00759,Spade Terminal,12.18,2.46,1.12,2.99,30,0,3,811
SM-02925,Terminal Block,8.49,3.0,1.96,7.66,9,1,3,718
SM-02963,Push-to-Connect Fitting,0.5,7.13,2.51,4.35,8,1,4,428
SM-02167,Machine Screw,8.51,6.52,1.98,0.41,28,0,2,1320
SM-01412,Pressure Regulator,11.09,10.4,2.09,1.39,19,1,1,306
SM-02404,Tee Fitting,3.68,2.15,2.1,6.3,39,7,3,105
SM-00710,Coupling Insert,16.8,6.74,4.56,5.16,1,2,2,606
SM-00346,Ring Terminal,16.0,7.26,3.17,4.65,7,3,2,392
SM-01693,Anchor Bolt,5.28,4.76,2.88,6.54,8,8,2,90
SM-00304,O-Ring,14.97,0.98,2.64,6.07,2,3,4,149
SM-02138,Push Button,16.23,1.44,0.73,6.05,7,0,4,537
SM-00462,Rocker Switch,5.12,6.96,3.39,5.72,2,14,2,8
SM-00928,Coupling Insert,11.15,10.31,3.89,1.74,5,3,1,141
SM-02406,V-Ring Seal,14.54,9.16,4.69,6.85,6,1,1,350
SM-03225,Ring Terminal,12.47,3.33,0.85,0.21,9,3,3,396
SM-01388,Sealed Bearing,6.46,11.79,2.75,1.62,13,0,2,1251
SM-00550,Shaft Seal,6.0,8.39,4.71,3.03,13,4,2,304
SM-03199,Hinge,17.92,11.16,3.27,1.03,4,1,1,394
SM-01942,Fuse 15A,16.7,3.89,2.68,1.55,6,5,3,178
SM-03030,Connecting Link,13.93,8.11,3.42,4.34,4,12,2,37
SM-03145,Limit Switch,10.54,8.3,3.71,4.28,6,1,2,1077
SM-01347,Quick Coupler,4.8,10.33,4.86,6.61,2,3,2,456
SM-00753,Dowel Pin,6.45,6.84,0.77,0.25,23,1,2,791
SM-01981,Wire Connector,0.34,4.13,2.73,4.75,46,1,4,375
SM-00335,Key Stock,12.09,3.83,1.57,0.16,8,0,3,781
SM-00577,Ring Terminal,1.37,8.1,1.54,2.98,6,1,4,304
SM-02017,Barb Fitting,15.73,5.51,0.66,4.02,15,1,2,952
SM-02928,Hydraulic Filter,16.3,6.86,3.62,7.66,3,3,2,550
SM-02425,Flat Washer,15.25,2.25,2.23,7.33,13,1,3,674
SM-02209,Elbow Fitting,14.68,11.26,0.8,6.56,23,3,1,161
SM-00118,Threaded Rod,16.64,8.68,4.78,5.52,1,1,2,716
SM-01726,Handle,13.16,7.1,2.51,6.38,13,10,2,51
SM-01633,Cotter Pin,1.96,10.42,1.82,1.39,26,4,3,228
SM-01154,Fuse 10A,13.76,2.92,3.64,6.3,7,1,3,582
SM-02174,Cord Grip,2.63,8.66,4.34,4.63,9,1,3,658
SM-00501,Oil Filter,10.32,4.09,3.42,4.24,7,0,2,1169
SM-02341,Cord Grip,10.12,2.0,2.12,0.79,25,3,3,355
SM-02688,Fender Washer,15.56,2.92,2.68,3.75,2,2,3,460
SM-00912,Gas Spring,11.79,9.89,0.87,7.2,30,2,1,198
SM-00272,Coupling Insert,11.83,8.0,4.85,1.2,2,5,2,187
SM-01745,Cap Screw,17.15,11.23,2.44,7.16,6,5,1,78
SM-03480,Compression Spring,11.51,2.62,4.18,7.9,8,0,3,951
SM-02124,Roll Pin,8.32,8.04,2.56,3.51,13,0,2,1316
SM-02494,Photoelectric Sensor,11.71,9.66,2.86,5.98,8,2,1,226
SM-02831,Pneumatic Actuator,6.6,1.29,1.68,7.48,18,7,4,61
SM-01271,Spacer,1.63,7.69,4.11,2.16,9,3,3,314
SM-00883,Handle,5.88,8.86,4.29,2.53,6,10,2,48
